Question,Option 1,Option 2,Option 3,Option 4
"=IMAGE(""./img/question_1.jpg"")",Hidden intersection ahead,Winding road ahead,Road slippery when wet,Narrow road ahead
"=IMAGE(""./img/question_2.jpg"")","Factory, slow down",Bump or uneven pavement,Construction zone,Bridge or viaduct
"=IMAGE(""./img/question_3.jpg"")",You are approaching a four-way intersection,You are approaching a pedestrian crosswalk,You are approaching a hospital zone,You are approaching a railroad crossing
"=IMAGE(""./img/question_4.jpg"")",Divided highway ahead,Divided highway ends,Narrow bridge ahead,Road under construction
"=IMAGE(""./img/question_5.jpg"")",Beware of a hidden intersection,"Intersection ahead, the arrow shows which direction of traffic has the right-of-way",Traffic going in the direction of the arrow does not have the right-of-way,Railway crossing ahead
"=IMAGE(""./img/question_6.jpg"")",Sign indicates traffic going in the direction of the arrow have the right-of-way,"Danger, the road ahead ends",Sharp turn on the road in the direction of the arrow; drive with caution,Do not turn right
"=IMAGE(""./img/question_7.jpg"")",Parking for trucks ahead,No trucks are permitted beyond this sign,Bumpy road ahead,The sign warns of a steep hill ahead
"=IMAGE(""./img/question_8.jpg"")",Deer cross regularly; drive with caution,Destination board indicating a zoo,No standing between signs,None of the above
"=IMAGE(""./img/question_9.jpg"")",Road ahead  slippery when wet,Bumpy road ahead,Railway crossing ahead,Winding road ahead
"=IMAGE(""./img/question_10.jpg"")",Road ahead  slippery when wet,Bumpy road ahead,Railway crossing ahead,Winding road ahead
"=IMAGE(""./img/question_11.jpg"")",Divided highway begins ahead,Narrow bridge ahead,Divided highway ends ahead,Winding road ahead
"=IMAGE(""./img/question_12.jpg"")",No truck allowed,Truck entrance on the right side ahead,Slow down for trucks,Truck route
"=IMAGE(""./img/question_13.jpg"")",Road is blocked ahead,Narrow bridge ahead,Pedestrian crossing ahead,This sign means only local traffic allowed
"=IMAGE(""./img/question_14.jpg"")",No passing allowed,Drive with caution when passing a vehicle,Share the road with oncoming traffic,The road is divided by a traffic island
"=IMAGE(""./img/question_15.jpg"")",Traffic signals ahead,Stop sign 150 meters (500 feet) ahead,Bump 125 meters (400 feet) ahead,Railroad crossing ahead
"=IMAGE(""./img/question_16.jpg"")",You must not make a right turn,You are approaching traffic signal lights,You are approaching a stop sign,You must not make a left turn
"=IMAGE(""./img/question_17.jpg"")",Road ahead is blocked,You must make a right at the next intersection,Hidden intersection ahead,None of the above
"=IMAGE(""./img/question_18.jpg"")",Right lane exits,Slight bend or curve in the road ahead,You must make a right turn,U-Turns permitted
"=IMAGE(""./img/question_19.jpg"")",Do not enter,Traffic lights ahead; you have the right-of-way,The action within the green circle is prohibited,Permissive sign
"=IMAGE(""./img/question_20.jpg"")",This parking space is restricted for vehicles displaying a valid handicap Access Parking Permit,Only wheelchairs can be parked here,No parking allowed,Sign indicates driver's who have an Access Parking Permit may not park here
"=IMAGE(""./img/question_21.jpg"")",No entry into intersection,No stopping at any time between signs,Vehicles approaching from the angle shown must stop,Stop not needed for stop signs in directions of arrows.
"=IMAGE(""./img/question_22.jpg"")",No left turn during times indicated; all other times permitted,No left turn any time,No right turn during times indicated; all other times permitted,No right turn any time
"=IMAGE(""./img/question_23.jpg"")",Do not drive through intersection,The road is blocked beyond the sign,Do not enter,Stop immediately
"=IMAGE(""./img/question_24.jpg"")",Bridge or viaduct ahead; proceed with caution,Route ahead is for trucks only,Do not enter unless local traffic,Prohibited sign
"=IMAGE(""./img/question_25.jpg"")",Beware of passing vehicles,Do not enter,No passing allowed at any time,You are approaching steep hill
"=IMAGE(""./img/question_26.jpg"")",No buses allowed on specified lane during posted times,No stopping within the times,Do not enter between the times,This lane is reserved for specific types of and/or a specific amount of passengers in a vehicle
"=IMAGE(""./img/question_27.jpg"")",No right turns permitted on this street,Right turns are permitted when the light is red,On red lights you must stop and check if it is safe before making a right turn,Right turns are not permitted when the light is red
"=IMAGE(""./img/question_28.jpg"")",You must make a right turn only,You must not make a left turn,Hidden intersection ahead,You are approaching a traffic island
"=IMAGE(""./img/question_29.jpg"")",The speed limit is 50 km/h,Speed limit of 50 km/h ends,Speed limit of 50 km/h begins,A and C is correct
"=IMAGE(""./img/question_30.jpg"")","School zone, drive 30km/h when lights are flashing",Maximum 30km/h beyond this point,Pedestrian crossing ahead,None of the above
"=IMAGE(""./img/question_31.jpg"")",No right turns permitted,No left turns permitted,You may right turn if the light is green,You may right turn if the light is yellow
"=IMAGE(""./img/question_32.jpg"")",You have the right-of-way,Railway crossing ahead,You must give the right-of-way,School area ahead
"=IMAGE(""./img/question_33.jpg"")",Do not enter unless local traffic,Do not pass,Do not enter,Traffic circle ahead
"=IMAGE(""./img/question_34.jpg"")",Parking is only permitted between the signs at the times shown; 30 mins allowed,Parking is permitted for 30mins on any day,Parking is not allowed at any time,None of the above
"=IMAGE(""./img/question_35.jpg"")",No pedestrians allowed on roadway,Beware of pedestrian on the road,Road slippery when wet,No standing
"=IMAGE(""./img/question_36.jpg"")",Road slippery when wet,No left turn permitted,No right turn permitted,"You must not make a ""U"" turn"
"=IMAGE(""./img/question_37.jpg"")",No standing between signs,Do not block intersection,No parking allowed between signs,Parking is available to the left and right of the sign
"=IMAGE(""./img/question_38.jpg"")",Approaching railroad crossing; slow down and prepare to stop,Approaching pedestrian cross walk; slow down and prepare to stop and yield to the right-of-way,Approaching intersection; slow down and prepare to stop,No pedestrians allowed on the road
"=IMAGE(""./img/question_39.jpg"")",You must yield to the bus once it has signalled its intent to return to lane,You may pass the bus if it is safe,Do not pass buses,Make sure you signal before making a t
"=IMAGE(""./img/question_40.jpg"")",No bicycles permitted,Bikes are permitted,Share the road with bicyclist,Do not leave bicycles unattended in this area
"=IMAGE(""./img/question_41.jpg"")",Railroad crossing ahead,Do not enter,Pedestrian crossing ahead,Vehicles cannot cross/change lanes
"=IMAGE(""./img/question_42.jpg"")",I am turning right,I am turning left,I am slowing or stopping,None of the above
"=IMAGE(""./img/question_43.jpg"")",Lane usage sign meaning right turn only,The road ahead curves to the right,The road ahead curves to the left,Lane usage sign permitting all turns
"=IMAGE(""./img/question_44.jpg"")",Playground zone sign for students,Children playing in residential area,School zone sign,Bus stop ahead
"=IMAGE(""./img/question_45.jpg"")",You might make a left turn,You must go straight,You cannot turn right,Traffic is permitted only in the direction of the sign
"=IMAGE(""./img/question_46.jpg"")",This sign means there is a two-way shared left turn lane,This sign means there is a left or right turn lane,This sign means there is a two-way right turn lane,Beware of slippery roads
"=IMAGE(""./img/question_47.jpg"")",Stop at all times,Stop only if other vehicles are approaching,Stop sign 150 meters,Stop sign 125 meters
"=IMAGE(""./img/question_48.jpg"")",I am turning left,I am turning right,I am slowing or stopping,No passing allowed
"=IMAGE(""./img/question_49.jpg"")",New driver,New born baby on broad,Parking is permitted,No parking is permitted
"=IMAGE(""./img/question_50.jpg"")",This sign shows wheelchair accessible facilities,No standing allowed,Do not park here,Beware of low speed vehicles
"=IMAGE(""./img/question_51.jpg"")",I am turning right,I am turning left,I am slowing or stopping,None of the above
"=IMAGE(""./img/question_52.jpg"")",Beware of children playing,Highway work operations ahead,Do not block pedestrian crossing,Construction sign - slow down - obey fragments decisions
"=IMAGE(""./img/question_53.jpg"")",Watch out for children passing,Beware of pedestrians crossing the road,"Traffic control person ahead, drive slowly and watch for instructions",School bus zone
"=IMAGE(""./img/question_54.jpg"")",Slow moving vehicle  ahead,You have the right-of-way,Yield to the right-of-way,Construction site ahead
"=IMAGE(""./img/question_55.jpg"")",Pass to right of traffic island,Road turns right then left,Winding road ahead,Pass other traffic on the right
"=IMAGE(""./img/question_56.jpg"")",Divided  highway ahead,You are approaching a one-way street,Hidden intersection ahead,Pavement narrows
"=IMAGE(""./img/question_57.jpg"")",Destination board,School zone - watch for children playing,Provincial park,Pedestrian control sign meaning no active games
"=IMAGE(""./img/question_58.jpg"")",X intersection for school vehicles,School crosswalk sign,Caution - school bus crossing,Regulatory sign
"=IMAGE(""./img/question_59.jpg"")",Stop sign,Yield sign,Slow moving vehicle,School bus stop arm
"=IMAGE(""./img/question_60.jpg"")",Maximum speed 50 km/h (30 miles) from this sign to the next,Speed limit for rural school zone,End of 50 km/h (30 miles) ahead,Maximum speed 50 km/h (30 miles) ahead
A person whose driver's license is under suspension may:,Not operate a motor vehicle under any circumstances,Operate a motor vehicle in a case of an emergency,Operate a motor vehicle to and from work,Operate a motor vehicle when accompanied by a full G licensed driver
What is the maximum blood alcohol concentration (BAC) for fully licensed drivers?,0.03%,0.05%,0.08%,1.00%
What penalties can a driver face when convicted of driving while their licence is suspended for a Criminal Code Offence:,"A fine of $5,000-$25,000 and an additional 1 year suspension for a first offence","A fine of $10,000-$50,000 and an additional 2 years of suspension for a subsequent offence within 5 years",Up to 2 years in prison and a three year licence suspension under the Criminal Code,All of the above
Under what circumstances may a driver's licence be cancelled?,If you fail a driver's re-examination,For possession of an altered driver's licence,If you don’t pay your reinstatement fee or administrative monetary penalty following a suspension,Any or all of above
"If you are convicted of careless driving or driving 50 km/h or more over the speed limit, the consequences for a first offence is:",Licence suspension for up to 15 days,Licence suspension for up to 30 days,Licence suspension for up to 45 days,Licence suspension for up to 60 days
"When your suspension period ends, after accumulating 15 demerit points, how many points are you reduced down to?",Reduced to 10 points,Reduced to 7 points,Reduced to 5 points,Reduced to 3 points
The Ministry of Transportation may suspend a licence after a 9 demerit point interview:,If the driver does not have full G licence,If the driver fails to give a satisfactory reasons as to why their licence should not be suspended,A driver's licence may not be suspended before the 10 demerit point mark,A driver's licence may not be suspended before the 15 demerit point mark
A class G1 drivers must  be accompanied by a class G driver with a blood alcohol concentration level of less than:,0.00%,0.03%,0.05%,0.08%
When may you not lend your driver's licence?,In emergencies,To a person learning to drive,It is not permitted,For identification purpose
"If you are a teenage driver, after six months of obtaining your G2 licence and until you obtain your G licence or turn 20, how many teenage passengers are you allowed to carry between midnight to 5 a.m.?",1 passenger aged 19 or under,2 passengers aged 19 or under,3 passengers aged 19 or under,No passengers aged 19 or under
"As a class G2 driver, your blood alcohol concentration level must not be over:",0.08%,0.05%,0.03%,0.00%
"As a Level One (Class G1) or Level Two (Class G2) driver, your licence will be suspended if you collect:",Two or more demerit points,Six demerit points,Nine or more demerit points during a two-year period,10 or more demerit points
"As a Level One (Class G1) or Level Two (Class G2) driver, the first time you collect the maximum
number of demerit points, your licence will be suspended for",30 days,60 days,90 days,120 days
